PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 200.000| |0m²| | |Agenor de Carvalho
R$ 670.000|4 quartos | 624m² | | 2 vagas|Agenor de Carvalho
R$ 260.000|3 quartos | 145m² | | 3 vagas|Aponiã
R$ 160.000|2 quartos | | | 2 vagas|Bairro Novo
R$ 750.000|2 quartos | | | 1 vaga|Embratel
R$ 735.000|3 quartos | 2000m² |R$ 850 | 2 vagas|Embratel
R$ 595.000|2 quartos | 350m² | | 2 vagas|Liberdade
R$ 190.000|2 quartos | | | 1 vaga|Areal
R$ 140.000|2 quartos | 51m² |R$ 160 | 1 vaga|Novo Horizonte
R$ 450.000|5 ou mais quartos | 250m² | | 4 vagas|Areal
R$ 800.000|3 quartos | 1271m²| | |Nova Porto Velho
R$ 370.000|3 quartos | 380m²| | |São Cristóvão
R$ 550.000|4 quartos | 480m² | | 2 vagas|Rio Madeira
R$ 110.000|4 quartos | | | 1 vaga|Baixa União
R$ 120.000|2 quartos | | | 1 vaga|Cidade Nova
R$ 34.000| | | |2 vagas|Castanheira
R$ 110.000|2 quartos | | | 1 vaga|Santa Bárbara
R$ 100.000|2 quartos | 70m² | | 1 vaga|Ulisses Guimarães
R$ 199.800|2 quartos | 43m² |R$ 180 | 2 vagas|Planalto
R$ 110.000|2 quartos | 30m² | | 4 vagas|Pantanal
R$ 12.000|2 quartos | | | 1 vaga|Mariana
R$ 180.000|2 quartos | 85m² |R$ 0| |Caladinho
R$ 250.000|2 quartos | 63m² | | 1 vaga|Liberdade
R$ 130.000|2 quartos | 260m² |R$ 0| |Pantanal
R$ 300.000|3 quartos | 180m² |R$ 468 | 2 vagas|Aponiã
R$ 750.000|4 quartos | 143m² | | 2 vagas|Cuniã
R$ 740.000|2 quartos | 96m² |R$ 735 | 2 vagas|São João Bosco
R$ 550.000|3 quartos | 0m² | | 3 vagas|Cohab
R$ 545.000|3 quartos | 103m² |R$ 1.100 | 2 vagas|Rio Madeira
R$ 485.000|3 quartos | | | 2 vagas|Industrial
R$ 70.000|2 quartos | 64m² |R$ 1 | 2 vagas|Caiari
R$ 295.000|2 quartos | 72m² | | 2 vagas|Rio Madeira
R$ 235.000|3 quartos | 300m² | | 3 vagas|Três Marias
R$ 225.000|3 quartos | 104m² | | 2 vagas|Rio Madeira
R$ 897.000|4 quartos | | | 3 vagas|São João Bosco
R$ 280.000|2 quartos | 160m² | | 1 vaga|Eletronorte
R$ 140.000|2 quartos | 255m² |R$ 0| |Três Marias
R$ 350.000|3 quartos | 74m² |R$ 500 | 2 vagas|Floresta
R$ 90.000|2 quartos | 44m² |R$ 170 | 1 vaga|Aeroclube
R$ 550.000|3 quartos | 130m² |R$ 0 | 2 vagas|Pedrinhas
R$ 650.000|3 quartos | 220m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 175.000|3 quartos | 300m² | | 2 vagas|Escola de Polícia
R$ 290.000|3 quartos | 85m² |R$ 0 | 1 vaga|Rio Madeira
R$ 3.000.000|5 ou mais quartos | 530m² |R$ 0 | 4 vagas|São Cristóvão
R$ 120.000|2 quartos | 42m² |R$ 130 | 1 vaga|Bairro Novo
R$ 330.000|3 quartos | 76m² |R$ 532 | 2 vagas|Rio Madeira
R$ 35.000|1 quarto | 300m²| | |Ronaldo Aragão
R$ 750.000|3 quartos | 350m² |R$ 300 | 4 vagas|Aponiã
R$ 492.817|2 quartos | 62m² | | 1 vaga|Centro
R$ 110.000|2 quartos | | | 1 vaga|Santa Bárbara
R$ 28.000|1 quarto| | | |Ulisses Guimarães
R$ 172.000|2 quartos | 0m² | | 2 vagas|Planalto
R$ 380.000|4 quartos | 1875m² | | 2 vagas|Nacional
R$ 110.000|2 quartos | 250m² |R$ 0 | 1 vaga|Mariana
R$ 145.000|3 quartos | 300m² |R$ 0 | 3 vagas|Juscelino Kubitschek
R$ 330.000|2 quartos | 68m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 600.000|4 quartos | 0m² | | 4 vagas|Juscelino Kubitschek
R$ 1.250.000|4 quartos | | | 2 vagas|Cuniã
R$ 310.000|3 quartos | 72m² | | 2 vagas|Cuniã
R$ 1.200.000|3 quartos | 171m² | | 2 vagas|Embratel
R$ 225.000|3 quartos | 100m² |R$ 350 | 2 vagas|Lagoinha
R$ 780.000|5 ou mais quartos | 400m² | | 4 vagas|Agenor de Carvalho
R$ 190.000|2 quartos | 56m² |R$ 350 | 2 vagas|Triângulo
R$ 445.000|3 quartos | 180m² | | 2 vagas|Rio Madeira
R$ 1.290.000|3 quartos | 225m² |R$ 350 | 4 vagas|Aeroclube
R$ 600.000|5 ou mais quartos | 525000m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 345.990|3 quartos | 85m² |R$ 614 | 1 vaga|Rio Madeira
R$ 420.000|2 quartos | 76m² |R$ 490 | 1 vaga|Liberdade
R$ 400.000|3 quartos | 10m² | | 1 vaga|Aponiã
R$ 1.600.000|4 quartos | |R$ 0 | 1 vaga|Costa e Silva
R$ 185.000|2 quartos| | | |Caladinho
R$ 750.000|4 quartos | |R$ 550 | 4 vagas|Eletronorte
R$ 70.000|2 quartos | 20m² |R$ 0 | 2 vagas|Maringá
R$ 155.000|3 quartos | 270m² |R$ 0| |Nova Esperança
R$ 172.000|2 quartos | 51m² |R$ 0 | 1 vaga|Nova Esperança
R$ 180.000|4 quartos | 300m² | | 3 vagas|Liberdade
R$ 680.000|3 quartos | | | 2 vagas|Nossa Senhora das Graças
R$ 30.000| |220m²| | |Esperança da Comunidade
R$ 1.150.000|3 quartos | 270m² |R$ 2.000 | 3 vagas|São João Bosco
R$ 160.000|2 quartos | 46m² |R$ 170 | 1 vaga|Novo Horizonte
R$ 990.000|3 quartos | |R$ 300 | 2 vagas|Aponiã
R$ 30.000|2 quartos | 10m² | | 1 vaga|Jardim Santana
R$ 330.000|2 quartos | 250m² |R$ 0 | 3 vagas|Nova Floresta
R$ 19.000|1 quarto | 0m² |R$ 0 | 1 vaga|Jardim Santana
R$ 190.000|2 quartos | 42m² | | 1 vaga|Planalto
R$ 900.000|5 ou mais quartos | 7501m² | | 5 ou mais vagas|Panair
R$ 350.000|3 quartos | 74m² | | 1 vaga|Embratel
R$ 120.000|3 quartos | 126m² | | 1 vaga|Areia Branca
R$ 315.000|3 quartos | 75m² |R$ 0 | 2 vagas|Aponiã
R$ 250.000|3 quartos| | | |Aponiã
R$ 220.000|2 quartos| | | |Bairro Novo
R$ 270.000|5 ou mais quartos | 12m² | | 3 vagas|Embratel
R$ 25.000|1 quarto | 0m²| | |Novo Horizonte
R$ 100.000|3 quartos | | | 1 vaga|Nova Floresta
R$ 0|3 quartos | 0m² | | 5 ou mais vagas|Igarapé
R$ 75.000|1 quarto | | | 2 vagas|Lagoinha
R$ 400.000|3 quartos | 600m² |R$ 0 | 4 vagas|Cuniã
R$ 890.000|3 quartos | 158m² |R$ 270 | 2 vagas|Aponiã
R$ 0|2 quartos | 143m² |R$ 800 | 2 vagas|Embratel
R$ 150.000|2 quartos | 0m² |R$ 0 | 2 vagas|Novo Horizonte
R$ 0|4 quartos | 320m² |R$ 700 | 2 vagas|Aponiã
R$ 295.000|2 quartos | 122m² | | 2 vagas|Centro
R$ 350.000|4 quartos | 500m² | | 4 vagas|Pedrinhas
R$ 280.000|3 quartos | 200m² |R$ 0| |Castanheira
R$ 260.000|3 quartos | 80m² |R$ 400| |Cuniã
R$ 260.000|3 quartos| | | |Areal
R$ 335.000|3 quartos | 85m² |R$ 0 | 1 vaga|Rio Madeira
R$ 80.000|4 quartos | | | 1 vaga|Nacional
R$ 270.000|1 quarto | 34m² |R$ 97 | 1 vaga|Centro
R$ 130.000|4 quartos | | | 2 vagas|Tancredo Neves
R$ 750.000|3 quartos | | | 4 vagas|Cohab
R$ 55.000|2 quartos | 0m² |R$ 0| |Nacional
R$ 380.000|4 quartos | 200m² | | 2 vagas|Igarapé
R$ 180.000|3 quartos | | | 4 vagas|Floresta
R$ 185.000|3 quartos | | | 3 vagas|Aeroclube
R$ 520.000|3 quartos | 192m² |R$ 0 | 3 vagas|Liberdade
R$ 780.000|3 quartos | 185m² |R$ 0| |Aeroclube
R$ 450.000|3 quartos | 180m² |R$ 180 | 2 vagas|Aponiã
R$ 1.300.000|5 ou mais quartos | 400m² |R$ 1.000 | 3 vagas|Panair
R$ 0|3 quartos | 79m²| | |Aponiã
R$ 200.000|3 quartos | | | 3 vagas|Juscelino Kubitschek
R$ 155.000|3 quartos | 220m² | | 4 vagas|São Francisco
R$ 270.000|3 quartos | 0m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 350.000|3 quartos | 75m² | | 2 vagas|Rio Madeira
R$ 0|3 quartos | 0m²| | |Mato Grosso
R$ 375.000|3 quartos | 95m² | | 2 vagas|Costa e Silva
R$ 180|1 quarto| | | |Cascalheira
R$ 230.000|3 quartos | 120m² | | 2 vagas|Aponiã
R$ 350.000|3 quartos | 81m² |R$ 525 | 2 vagas|Rio Madeira
R$ 75.000|3 quartos | 110m² |R$ 0 | 2 vagas|Nova Esperança
R$ 45.000|2 quartos | 25m² |R$ 125 | 1 vaga|Socialista
R$ 500.000|3 quartos | 89m² |R$ 550 | 2 vagas|Rio Madeira
R$ 250.000|4 quartos | 250m² | | 2 vagas|Igarapé
R$ 430.000|3 quartos | 187m² | | 2 vagas|Embratel
R$ 350.000|3 quartos | 90m² |R$ 205 | 2 vagas|Bairro Novo
R$ 40.000|2 quartos | 72m²| | |Ulisses Guimarães
R$ 290.000|3 quartos | 150m² | | 2 vagas|Eletronorte
R$ 460.000|2 quartos | 256m² | | 5 ou mais vagas|Santa Bárbara
R$ 220.000|3 quartos | 1025m²| | |Embratel
R$ 150.000| | | | |Centro
R$ 15.000|2 quartos | |R$ 40 | 1 vaga|Aeroclube
R$ 189.800|2 quartos | 52m² |R$ 0 | 2 vagas|Planalto
R$ 90.000|3 quartos | 300m² | | 2 vagas|São Sebastião
R$ 280.000|3 quartos | 120m² |R$ 0 | 2 vagas|Floresta
R$ 320.000|2 quartos | | | 4 vagas|Eldorado
R$ 2.680.000|3 quartos | 422m² |R$ 0 | 4 vagas|Aponiã
R$ 600.000|3 quartos | 0m²| | |Centro
R$ 390.000|3 quartos | 74m² |R$ 0 | 2 vagas|Rio Madeira
R$ 280.000|2 quartos | 120m² |R$ 250 | 2 vagas|Eletronorte
R$ 680.000|3 quartos | 250m² | | 3 vagas|Agenor de Carvalho
R$ 30.000|2 quartos| | | |Mariana
R$ 260.000|2 quartos | | | 1 vaga|Embratel
R$ 50.000|2 quartos | 2m² | | 1 vaga|Três Marias
R$ 70.000|2 quartos | | | 2 vagas|Área Rural de Porto Velho
R$ 380.000|3 quartos | | | 3 vagas|Flodoaldo Pontes Pinto
R$ 390.000|3 quartos | 270m² | | 4 vagas|Igarapé
R$ 0|2 quartos | | | 2 vagas|Teixeirão
R$ 660.000|3 quartos | 110m² |R$ 800 | 2 vagas|Olaria
R$ 150|3 quartos | 380m² | | 2 vagas|Cuniã
R$ 52.000|1 quarto | 0m² |R$ 0 | 2 vagas|Areia Branca
R$ 280.000|2 quartos | 94m² |R$ 225 | 2 vagas|Cuniã
R$ 50.000|3 quartos| | | |Mariana
R$ 130.000|2 quartos | 145m² |R$ 0 | 2 vagas|Nova Floresta
R$ 230.000|2 quartos | 480m² | | 5 ou mais vagas|Liberdade
R$ 17.000|2 quartos | | | 1 vaga|Marcos Freire
R$ 80.000|2 quartos | 3050m² | | 1 vaga|Socialista
R$ 320.000|3 quartos | 400m²| | |Agenor de Carvalho
R$ 260.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 50.000|2 quartos | 1m² | | 1 vaga|Teixeirão
R$ 450.000|5 ou mais quartos | 250m² | | 4 vagas|Planalto
R$ 100.000|2 quartos | 0m² |R$ 0 | 2 vagas|Nossa Senhora das Graças
R$ 450.000|5 ou mais quartos | 300m² | | 5 ou mais vagas|Nova Porto Velho
R$ 200.000|5 ou mais quartos | 3000m²| | |Tancredo Neves
R$ 180.000|3 quartos | 0m² |R$ 165 | 2 vagas|Esperança da Comunidade
R$ 575.000|3 quartos | 110m² |R$ 800 | 2 vagas|Olaria
R$ 400.000|3 quartos | 74m² |R$ 0 | 1 vaga|Rio Madeira
R$ 75.000|3 quartos | 250000m² | | 2 vagas|Ulisses Guimarães
R$ 18.000|2 quartos| | | |Aeroclube
R$ 830.000|3 quartos | 136m² | | 2 vagas|Olaria
R$ 250.000|2 quartos | | | 2 vagas|Agenor de Carvalho
R$ 330.000|3 quartos | 95397m² | | 2 vagas|Embratel
R$ 9.000|1 quarto | 31m² | | 1 vaga|Caladinho
R$ 80.000|2 quartos | | | 2 vagas|Embratel
R$ 45.000|2 quartos | 30m² | | 1 vaga|Área Rural de Porto Velho
R$ 35.000|2 quartos | | | 1 vaga|Área Rural de Porto Velho
R$ 50.000|1 quarto | 35m² | | 1 vaga|Tancredo Neves
R$ 120.000|2 quartos | 10m² | | 2 vagas|Lagoa
R$ 580.000|3 quartos | 100m² |R$ 550 | 2 vagas|Embratel
R$ 260.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 160|1 quarto | 50m² | | 1 vaga|Centro
R$ 890.000|3 quartos | 158m² |R$ 400 | 2 vagas|Aponiã
R$ 35.000|1 quarto | 1m² |R$ 0 | 1 vaga|Centro
R$ 0|2 quartos| | | |Área Rural de Porto Velho
R$ 750.000|3 quartos | 400m² | | 4 vagas|Rio Madeira
R$ 225.000|3 quartos | | | 1 vaga|Rio Madeira
R$ 100.000|2 quartos | 0m² |R$ 0 | 2 vagas|Nossa Senhora das Graças
R$ 15.000|1 quarto| | | |Jardim Santana
R$ 199.800|2 quartos | 52m² |R$ 212 | 2 vagas|Planalto
R$ 295.000|4 quartos | 250m² | | 2 vagas|Aponiã
R$ 300.000|2 quartos | 10m² |R$ 0| |Areia Branca
R$ 200.000|4 quartos | 600m² | | 4 vagas|São Sebastião
R$ 55.000|1 quarto | 0m² |R$ 0| |Aponiã
R$ 600.000|3 quartos | 112m² |R$ 850 | 2 vagas|Olaria
R$ 180.000|1 quarto | 47m² | | 2 vagas|Caladinho
R$ 95.000|2 quartos | 140m² | | 2 vagas|Aeroclube
R$ 45.000|3 quartos | | | 2 vagas|Jardim Santana
R$ 90.000|3 quartos | | | 2 vagas|Agenor de Carvalho
R$ 22.000|2 quartos | 49m² |R$ 30 | 1 vaga|Jardim Santana
R$ 450.000|3 quartos | 84m² |R$ 0 | 2 vagas|Lagoa
R$ 360.000|3 quartos | 680m² |R$ 0 | 1 vaga|Aeroclube
R$ 25.000|2 quartos | 70m²| | |Área Rural de Porto Velho
R$ 250.000|3 quartos | 157m² |R$ 0 | 2 vagas|Tupy
R$ 150.000|3 quartos | 300m² |R$ 0 | 2 vagas|Três Marias
R$ 35.000|1 quarto | 0m²| | |Bairro Novo
R$ 20.000|2 quartos | |R$ 0 | 5 ou mais vagas|Aeroclube
R$ 980.000|3 quartos | 217m² |R$ 400 | 2 vagas|Cidade Jardim
R$ 480.000|3 quartos | 0m²| | |Arigolândia
R$ 20.000|2 quartos | 10m² |R$ 0 | 1 vaga|Castanheira
R$ 300.000|4 quartos | 230m² | | 2 vagas|Nova Floresta
R$ 125.000|2 quartos | | | 2 vagas|Tancredo Neves
R$ 140.000|3 quartos | 300m² | | 2 vagas|Aponiã
R$ 25.000|2 quartos | | | 1 vaga|Ulisses Guimarães
R$ 331.699|3 quartos | 81m² | | 2 vagas|Rio Madeira
R$ 900.000|3 quartos | 190m² |R$ 0 | 3 vagas|Lagoa
R$ 350.000|3 quartos | 160m² |R$ 100 | 2 vagas|Escola de Polícia
R$ 352.000|2 quartos | 68m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 750.000|3 quartos | 260m² | | 1 vaga|Rio Madeira
R$ 1.290.000|3 quartos | 222m² | | 4 vagas|Cidade Jardim
R$ 870.000|3 quartos | 142m² | | 3 vagas|Olaria
R$ 900.000|3 quartos | 187m² | | 3 vagas|Aponiã
R$ 900.000|3 quartos | 190m² | | 3 vagas|Eldorado
R$ 900.000|3 quartos | 191m² | | 3 vagas|Nova Floresta
R$ 713.000|3 quartos | 135m² | | 3 vagas|São João Bosco
R$ 300.000|4 quartos | | | 2 vagas|Bairro Novo
R$ 620.000|5 ou mais quartos | 438m² | | 4 vagas|Rio Madeira
R$ 180.000|2 quartos | 0m² | | 1 vaga|Castanheira
R$ 180.000|2 quartos | 140m² |R$ 200 | 2 vagas|Esperança da Comunidade
R$ 900.000|3 quartos | 420m² |R$ 450 | 4 vagas|Eldorado
R$ 260.000|2 quartos | 0m² | | 4 vagas|Cuniã
R$ 850.000|3 quartos | 159m² | | 2 vagas|Rio Madeira
R$ 150.000|2 quartos | 50000m² | | 2 vagas|Centro
R$ 325.000|3 quartos | 125m² |R$ 0| |Novo Horizonte
R$ 360.000|3 quartos | 93m² |R$ 460 | 2 vagas|Lagoinha
R$ 450.000|3 quartos | |R$ 180 | 2 vagas|Aponiã
R$ 460.000|3 quartos | 216m² | | 4 vagas|Aponiã
R$ 100.000|2 quartos | 210m² |R$ 0 | 2 vagas|Castanheira
R$ 200.000|3 quartos | 0m² |R$ 0 | 4 vagas|Esperança da Comunidade
R$ 48.000|1 quarto| | | |Conceição
R$ 580.000|2 quartos | 295m² |R$ 0 | 2 vagas|São João Bosco
R$ 1.350.000|4 quartos | 690m² | | 4 vagas|Centro
R$ 130.000|2 quartos | 0m² | | 1 vaga|Novo Horizonte
R$ 950.000|4 quartos | 400m² |R$ 0 | 4 vagas|Nova Esperança
R$ 360.000|3 quartos | 93m² |R$ 0 | 1 vaga|Lagoa
R$ 890.000|3 quartos | 158m² |R$ 344 | 4 vagas|Rio Madeira
R$ 10.000|2 quartos | | | 1 vaga|Três Marias
R$ 280.000|3 quartos | 84m² | | 2 vagas|Agenor de Carvalho
R$ 55.000|2 quartos | 0m² |R$ 126 | 1 vaga|Roque
R$ 700.000|4 quartos | 430m² |R$ 0 | 4 vagas|Embratel
R$ 55.000|2 quartos| | | |Socialista
R$ 355.000|4 quartos | 250m² | | 3 vagas|Conceição
R$ 374.497|3 quartos | 75m² | | 2 vagas|Rio Madeira
R$ 250.000|3 quartos | 0m²| | |Flodoaldo Pontes Pinto
R$ 150.000|2 quartos | 0m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 740.000|4 quartos | 500m² | | 3 vagas|São Cristóvão
R$ 1.250.000|4 quartos | 300m² |R$ 400 | 4 vagas|Cidade Jardim
R$ 600.000| |273m² | | 5 ou mais vagas|Nova Floresta
R$ 1.490.000|4 quartos | 326m² |R$ 500 | 5 ou mais vagas|Embratel
R$ 1.200.000|3 quartos | 238m² |R$ 500 | 2 vagas|Cidade Jardim
R$ 890.000|3 quartos | 170m² |R$ 350 | 2 vagas|Rio Madeira
R$ 90.000|3 quartos | | | 2 vagas|São Francisco
R$ 285.000|5 ou mais quartos | 0m² | | 5 ou mais vagas|Nova Porto Velho
R$ 320.000|3 quartos | 76m² |R$ 0 | 1 vaga|Rio Madeira
R$ 368.000|2 quartos | 89m² |R$ 0 | 1 vaga|Flodoaldo Pontes Pinto
R$ 550.000|3 quartos | 250m² | | 3 vagas|Flodoaldo Pontes Pinto
R$ 800.000|3 quartos | 0m² | | 2 vagas|Industrial
R$ 790.000|3 quartos | 143m² | | 2 vagas|Industrial
R$ 195.000|2 quartos | 78m² | | 2 vagas|São Francisco
R$ 800.000|3 quartos | 150m² |R$ 550 | 2 vagas|Industrial
R$ 199.800|2 quartos | 52m² |R$ 212 | 2 vagas|Planalto
R$ 45.000|3 quartos | 1025m² | | 1 vaga|Mariana
R$ 355.000|4 quartos | 250m² |R$ 0 | 3 vagas|Conceição
|3 quartos | 12m² |R$ 70| |Marcos Freire
R$ 350.000|5 ou mais quartos | 294m² | | 2 vagas|Nacional
R$ 170.000|2 quartos | 96m² | | 2 vagas|Centro
R$ 140.000|4 quartos | | | 2 vagas|Militar
R$ 100.000|2 quartos | 120m² | | 1 vaga|São Francisco
R$ 165.000|3 quartos | 140m² | | 2 vagas|Igarapé
R$ 79.900|2 quartos | 95m²| | |São Sebastião
R$ 319.900|3 quartos | 154m² | | 3 vagas|Conceição
R$ 70.000|2 quartos | 20m² |R$ 0 | 2 vagas|Teixeirão
R$ 15.000|5 ou mais quartos| | | |São Francisco
R$ 1.200.000|3 quartos | 301m² |R$ 0| |Triângulo
R$ 300.000|3 quartos | 84m² |R$ 550 | 2 vagas|Agenor de Carvalho
R$ 550.000|3 quartos | 134m² |R$ 680 | 2 vagas|Militar
R$ 35.000|2 quartos | | | 2 vagas|Área Rural de Porto Velho
R$ 285.000|3 quartos | 0m² | | 2 vagas|Rio Madeira
R$ 1.200.000|3 quartos | 238m² | | 2 vagas|Eldorado
R$ 260.000|3 quartos | 73m² | | 1 vaga|Cuniã
R$ 300.000|4 quartos | 250m² | | 2 vagas|Três Marias
R$ 549.000|3 quartos | 120m² | | 2 vagas|Lagoa
R$ 650.000|3 quartos | 250m² |R$ 0 | 4 vagas|Agenor de Carvalho
R$ 600.000|2 quartos | 273m² |R$ 0 | 5 ou mais vagas|Nova Floresta
R$ 550.000|3 quartos | 210m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 300.000|1 quarto | 65m² |R$ 430 | 1 vaga|Nova Porto Velho
R$ 300.000|3 quartos | 74m² |R$ 400 | 1 vaga|Cuniã
R$ 243.495|2 quartos | 84m² | | 1 vaga|Lagoa
R$ 220.000|3 quartos | | | 3 vagas|Castanheira
R$ 35.000|2 quartos | 25m² |R$ 0 | 5 ou mais vagas|Jardim Santana
R$ 220.000|3 quartos | 180m² | | 3 vagas|Igarapé
R$ 1.290.000|3 quartos | 256m² |R$ 400 | 4 vagas|Cidade Jardim
R$ 1.500.000|4 quartos | 307m² |R$ 0 | 4 vagas|Lagoa
R$ 325.000|2 quartos | 251m² |R$ 194 | 2 vagas|Novo Horizonte
R$ 820.000|4 quartos | 535m² |R$ 0 | 2 vagas|Arigolândia
R$ 782.700|3 quartos | 168m² |R$ 988 | 2 vagas|Nossa Senhora das Graças
R$ 450.000|2 quartos | 75m² |R$ 380 | 1 vaga|Liberdade
R$ 549.000|3 quartos | 120m² |R$ 0 | 2 vagas|Lagoa
R$ 323.000|2 quartos | 160m² |R$ 70 | 2 vagas|Novo Horizonte
R$ 400.000|3 quartos | 250m² | | 3 vagas|Cohab
R$ 172.000|2 quartos | 51m² |R$ 0 | 1 vaga|Planalto
R$ 200.000|2 quartos | 84m² |R$ 150 | 2 vagas|Novo Horizonte
R$ 300.000|3 quartos | 154m² |R$ 230 | 4 vagas|Areia Branca
R$ 185.000|2 quartos | 78m² |R$ 0 | 2 vagas|São Francisco
R$ 350.000|2 quartos | 70m² | | 2 vagas|Embratel
R$ 335.000|3 quartos | 0m² | | 1 vaga|Nova Esperança
R$ 50.000|2 quartos | 56m² | | 2 vagas|Socialista
R$ 400.000|3 quartos | 230m² | | 5 ou mais vagas|Agenor de Carvalho
R$ 490.000|4 quartos | 218m² |R$ 0 | 2 vagas|KM 1
R$ 120.000|2 quartos| | | |São Francisco
R$ 225.000|3 quartos | 70m² | | 1 vaga|Nova Esperança
R$ 670.000|3 quartos | 185m² |R$ 0 | 3 vagas|Liberdade
R$ 750.000|3 quartos | 360m² |R$ 0 | 4 vagas|Embratel
R$ 172.000|2 quartos | 144m² |R$ 0 | 2 vagas|Planalto
R$ 325.000|2 quartos | 74m² |R$ 375 | 2 vagas|Triângulo
R$ 110.000|2 quartos | 46m² |R$ 187 | 1 vaga|Floresta
R$ 70.000|2 quartos | | | 1 vaga|Teixeirão
R$ 1.380.000|1 quarto | 300m² | | 1 vaga|Rio Madeira
R$ 380.000|3 quartos | 200m² | | 2 vagas|Flodoaldo Pontes Pinto
R$ 287.451|2 quartos | 58m² | | 2 vagas|Aponiã
R$ 90.000|3 quartos | | | 2 vagas|Mariana
R$ 680.000|3 quartos | 450m² | | 3 vagas|Agenor de Carvalho
R$ 700.000|4 quartos | 300m² | | 4 vagas|Rio Madeira
R$ 280|4 quartos | 200m² |R$ 1 | 2 vagas|Caladinho
R$ 109.900|3 quartos | 180m² | | 2 vagas|Três Marias
R$ 230.000|2 quartos | 420m² | | 1 vaga|Centro
R$ 380.000|3 quartos | 0m² | | 2 vagas|Novo Horizonte
R$ 850.000|3 quartos | 185m² | | 2 vagas|Rio Madeira
R$ 243.495|2 quartos | 84m² |R$ 0 | 1 vaga|Lagoa
R$ 40.000|2 quartos | 6m²| | |Mariana
R$ 350.000|3 quartos | 10m² | | 1 vaga|Flodoaldo Pontes Pinto
R$ 580.000|2 quartos | 96m² |R$ 735 | 2 vagas|São João Bosco
R$ 550.000|3 quartos | 300m² | | 2 vagas|Aponiã
R$ 410.000|3 quartos | 215m² | | 2 vagas|Aponiã
R$ 200.000|3 quartos | 220m² | | 2 vagas|Jardim Santana
R$ 120.000|3 quartos | | | 1 vaga|Lagoinha
R$ 1.500.000|3 quartos | 246m² |R$ 350 | 5 ou mais vagas|Rio Madeira
R$ 460.000|3 quartos | 216m² |R$ 0 | 4 vagas|Aponiã
R$ 28.000|1 quarto | | | 1 vaga|Cuniã
R$ 450.000|3 quartos | 205m² |R$ 0 | 4 vagas|Agenor de Carvalho
R$ 280.000|3 quartos | 104m² |R$ 150 | 3 vagas|Agenor de Carvalho
R$ 330.000|3 quartos | 76m² |R$ 620 | 1 vaga|Liberdade
R$ 230.000|3 quartos | 92m² | | 1 vaga|Rio Madeira
R$ 0|3 quartos | 0m² |R$ 0 | 5 ou mais vagas|Castanheira
R$ 230.000|2 quartos | 50m² |R$ 350 | 1 vaga|Aponiã
R$ 1.290.000|3 quartos | |R$ 450 | 4 vagas|Cidade Jardim
R$ 185.000|2 quartos | 95m² | | 2 vagas|Aponiã
R$ 280|4 quartos | 200m² |R$ 1 | 2 vagas|Caladinho
R$ 358.000|3 quartos | 84m² |R$ 500 | 2 vagas|Novo Horizonte
R$ 180.000|2 quartos | 52m² |R$ 0 | 1 vaga|Rio Madeira
R$ 430.000|3 quartos | 0m² | | 2 vagas|Lagoa
R$ 120.000|2 quartos | | | 1 vaga|Nova Esperança
R$ 110.000|3 quartos | | | 3 vagas|Castanheira
R$ 3.000.000|3 quartos | 400m² | | 4 vagas|Embratel
R$ 374.497|3 quartos | 75m² |R$ 0 | 2 vagas|Rio Madeira
R$ 850.000|3 quartos | 120m² |R$ 812 | 2 vagas|Olaria
R$ 120.000|3 quartos | 150m² | | 2 vagas|Ulisses Guimarães
R$ 220.000|3 quartos| | | |Embratel
R$ 150.000|2 quartos | 500m² | | 4 vagas|Tucumanzal
R$ 28.000|2 quartos | 58m² |R$ 0| |Esperança da Comunidade
R$ 55.000|1 quarto | 5m²| | |Castanheira
R$ 172.000|2 quartos | 51m² | | 1 vaga|Cuniã
R$ 670.000|3 quartos | 185m² | | 3 vagas|Liberdade
R$ 50.000|1 quarto | | | 1 vaga|Três Marias
R$ 1.950.000|4 quartos | 350m² |R$ 450 | 4 vagas|Nova Esperança
R$ 150.000|3 quartos | |R$ 0 | 3 vagas|Castanheira
R$ 38.000|1 quarto | |R$ 0| |Ronaldo Aragão
R$ 240.000|2 quartos | 60m² |R$ 415 | 1 vaga|Industrial
R$ 175.000|2 quartos | | | 3 vagas|Centro
R$ 75.000|2 quartos| | | |Três Marias
R$ 1.200.000|3 quartos | 171m² | | 2 vagas|Embratel
R$ 630.000|3 quartos | 130m² | | 2 vagas|Rio Madeira
R$ 550.000|3 quartos | 300m² |R$ 0 | 2 vagas|Aponiã
R$ 350.000|3 quartos | 200m² | | 4 vagas|Aponiã
R$ 90.000|2 quartos | | | 2 vagas|Eletronorte
