PREÇO|QUARTOS|TAMANHO|CONDOMÍNIO|ESTACIONAMENTO|BAIRRO
R$ 40.000|2 quartos | 0m² |R$ 0 | 1 vaga|Nova Porto Velho
R$ 750.000|4 quartos | 250m² |R$ 450| |Aeroclube
R$ 282.148|2 quartos | 68m² |R$ 0 | 2 vagas|Flodoaldo Pontes Pinto
R$ 520.000|4 quartos | 232m² |R$ 0 | 3 vagas|Flodoaldo Pontes Pinto
R$ 560.000|2 quartos | 127m² |R$ 1.100 | 2 vagas|Rio Madeira
R$ 255.000|2 quartos | 89m² |R$ 150 | 2 vagas|Agenor de Carvalho
R$ 1.400.000|4 quartos | 295m² |R$ 400 | 4 vagas|Aeroclube
R$ 1.300.000|3 quartos | 22848m² |R$ 350 | 2 vagas|Aponiã
R$ 55.000|2 quartos| | | |Planalto
R$ 300.000|3 quartos | 75m² | | 1 vaga|Eldorado
R$ 135.000|2 quartos | 55m² |R$ 0 | 1 vaga|Teixeirão
R$ 480.000|3 quartos | 170m² | | 4 vagas|Rio Madeira
R$ 280.000|3 quartos | 85m² |R$ 400 | 2 vagas|Nova Esperança
R$ 1.890.000|3 quartos | 250m² |R$ 800 | 4 vagas|Rio Madeira
R$ 890.000|3 quartos | 162m² |R$ 0 | 4 vagas|Rio Madeira
R$ 189.999|2 quartos | 58m² |R$ 0 | 1 vaga|Nova Porto Velho
R$ 680.000|4 quartos | 340m² |R$ 0 | 3 vagas|Liberdade
R$ 800.000|4 quartos | | | 3 vagas|São João Bosco
R$ 1.400.000|3 quartos | 210m² |R$ 0 | 2 vagas|Cidade Jardim
R$ 400.000|3 quartos | 143m² |R$ 400 | 2 vagas|Lagoa
R$ 400.000|4 quartos | 450m² |R$ 0 | 2 vagas|Caladinho
R$ 350.000|3 quartos | 75m² |R$ 440 | 1 vaga|Industrial
R$ 750.000|2 quartos | 230m² |R$ 0 | 5 ou mais vagas|Cohab
R$ 340.000|2 quartos | 64m² |R$ 380 | 1 vaga|Embratel
R$ 40.000|1 quarto| | | |Igarapé
R$ 370.000|3 quartos | 98m² |R$ 545 | 1 vaga|Costa e Silva
R$ 310.000|3 quartos | 94m² |R$ 467 | 1 vaga|Lagoa
R$ 720.000|3 quartos | 147m² |R$ 1.100 | 2 vagas|Nova Porto Velho
R$ 215.000|3 quartos | 48m² |R$ 0 | 1 vaga|Planalto
R$ 200.000|3 quartos | | | 2 vagas|Flodoaldo Pontes Pinto
R$ 650.000|4 quartos | 242m² | | 3 vagas|São Cristóvão
R$ 220.000|3 quartos | 48m² |R$ 0 | 1 vaga|Nova Floresta
R$ 499.000|3 quartos | 450m² | | 5 ou mais vagas|Cuniã
R$ 150.000|2 quartos | 45m² | | 1 vaga|Aeroclube
R$ 55.000|2 quartos | 120m² |R$ 0 | 2 vagas|Teixeirão
R$ 330.000|3 quartos | 84m² |R$ 500 | 1 vaga|Rio Madeira
R$ 380.000|3 quartos | 144m² |R$ 0 | 3 vagas|Aponiã
R$ 520.000|1 quarto| | | |Pedrinhas
R$ 169.000|3 quartos | | | 2 vagas|Castanheira
R$ 350.000|3 quartos | 160m² |R$ 100| |Escola de Polícia
R$ 75.000|2 quartos | 100m²| | |Nacional
R$ 1.250.000|4 quartos | 300m² |R$ 0 | 4 vagas|Cidade Jardim
R$ 50.000|1 quarto | 30m² | | 1 vaga|Marcos Freire
R$ 150.000|2 quartos | 84m² | | 1 vaga|Caladinho
R$ 320.000|3 quartos | |R$ 550 | 2 vagas|Agenor de Carvalho
R$ 200.000|1 quarto | 55m² |R$ 0| |São João Bosco
R$ 491.548|3 quartos | 80m² |R$ 0| |Rio Madeira
R$ 300.000|3 quartos | 120m² |R$ 0 | 2 vagas|Nova Esperança
R$ 330.000|3 quartos | 85m² |R$ 0 | 1 vaga|Agenor de Carvalho
R$ 990.000|3 quartos | 185m² |R$ 1.400 | 4 vagas|Lagoa
R$ 1.500.000|3 quartos | 245m² |R$ 0 | 4 vagas|Rio Madeira
R$ 20.000| |0m²| | |Mariana
R$ 65.000|2 quartos | | | 1 vaga|Tancredo Neves
R$ 450.000|3 quartos | 95m² |R$ 540 | 2 vagas|Liberdade
R$ 850.000|4 quartos | 600m² |R$ 0 | 2 vagas|Centro
R$ 500.000|2 quartos | 143m² |R$ 0 | 2 vagas|Olaria
R$ 100.000|3 quartos| | | |Planalto
R$ 1.200.000|4 quartos | 300m² |R$ 0 | 5 ou mais vagas|Liberdade
R$ 280.000|2 quartos | 80m² |R$ 600 | 1 vaga|Rio Madeira
R$ 110.000|2 quartos | 75m² |R$ 0 | 3 vagas|Aponiã
R$ 550.000|3 quartos | 100m² |R$ 750 | 2 vagas|Embratel
R$ 300.000|3 quartos | 70m² | | 1 vaga|Agenor de Carvalho
